行 28: 控件 ImageList1 的类 MSComctlLib.ImageList 不是一个已加载的控件类。
行 37: 控件 ListView1 的类 MSComctlLib.ListView 不是一个已加载的控件类。
行 31: 属性名 _ExtentX 在 ImageList1 中是无效的。
行 32: 属性名 _ExtentY 在 ImageList1 中是无效的。
行 34: 属性名 MaskColor 在 ImageList1 中是无效的。
行 35: 属性名 _Version 在 ImageList1 中是无效的。
行 43: 属性名 _ExtentX 在 ListView1 中是无效的。
行 44: 属性名 _ExtentY 在 ListView1 中是无效的。
行 45: 属性名 LabelEdit 在 ListView1 中是无效的。
行 46: 属性名 LabelWrap 在 ListView1 中是无效的。
行 47: 属性名 HideSelection 在 ListView1 中是无效的。
行 48: 属性名 _Version 在 ListView1 中是无效的。
行 53: 属性名 NumItems 在 ListView1 中是无效的。
行 31: 属性名 _ExtentX 在 ImageList1 中是无效的。
行 32: 属性名 _ExtentY 在 ImageList1 中是无效的。
行 34: 属性名 MaskColor 在 ImageList1 中是无效的。
行 35: 属性名 _Version 在 ImageList1 中是无效的。
行 43: 属性名 _ExtentX 在 ListView1 中是无效的。
行 44: 属性名 _ExtentY 在 ListView1 中是无效的。
行 45: 属性名 LabelEdit 在 ListView1 中是无效的。
行 46: 属性名 LabelWrap 在 ListView1 中是无效的。
行 47: 属性名 HideSelection 在 ListView1 中是无效的。
行 48: 属性名 _Version 在 ListView1 中是无效的。
行 53: 属性名 NumItems 在 ListView1 中是无效的。
